video_id,title,channel,published_at,views,likes,comments,url,collected_at
FEoicOB7Y9Q,Skrilla - Die 4 Me (Official Music Video),Skrilla,2025-07-27T06:00:07Z,219980,21522,1417,https://www.youtube.com/watch?v=FEoicOB7Y9Q,2025-07-28T10:40:26.032067
HtorEDAgjPM,IT: Welcome to Derry | Official Teaser 2 | HBO Max,HBO Max,2025-07-27T15:00:02Z,937130,30473,1628,https://www.youtube.com/watch?v=HtorEDAgjPM,2025-07-28T10:40:26.032081
dTTqKSqU_7s,ESPORTS WORLD CUP 2025 GRAND FINALS!! OpTic TEXAS VS VANCOUVER SURGE,Scump,2025-07-27T22:35:02Z,1035149,18664,154,https://www.youtube.com/watch?v=dTTqKSqU_7s,2025-07-28T10:40:26.032084
7AagwMbUR1M,Beéle - Quédate (Letra),Keller Lyrics,2025-07-27T19:00:06Z,121310,177,3,https://www.youtube.com/watch?v=7AagwMbUR1M,2025-07-28T10:40:26.032087
f6AZTfI54OU,Peacemaker Season 2 | Official Trailer | HBO Max,DC,2025-07-26T22:45:17Z,2548411,113468,4556,https://www.youtube.com/watch?v=f6AZTfI54OU,2025-07-28T10:40:26.032090
ZMsD-t3lorE,I Stole The ADMIN ONLY Brainrot..,CaylusBlox,2025-07-27T19:09:38Z,1241172,16247,2158,https://www.youtube.com/watch?v=ZMsD-t3lorE,2025-07-28T10:40:26.032093
TKdhqYUXcHU,Kodak Black - Get Me Some Money [Official Music Video],Kodak Black,2025-07-27T01:12:11Z,350254,24441,2027,https://www.youtube.com/watch?v=TKdhqYUXcHU,2025-07-28T10:40:26.032095
YPkv8-mNHAs,Watching Movie Trailers and Guessing Their Review Scores,Ooga Booga,2025-07-27T16:01:00Z,287467,24178,1486,https://www.youtube.com/watch?v=YPkv8-mNHAs,2025-07-28T10:40:26.032101
yApM21L0GgY,Race Highlights | 2025 Belgian Grand Prix,FORMULA 1,2025-07-27T16:33:30Z,4104531,82364,4097,https://www.youtube.com/watch?v=yApM21L0GgY,2025-07-28T10:40:26.032107
5k48LhP07S4,Hear Voices,BiggXthaplueg YoungBoy - Topic,2025-07-24T06:50:25Z,54551,2421,0,https://www.youtube.com/watch?v=5k48LhP07S4,2025-07-28T10:40:26.032110
FEoicOB7Y9Q,Skrilla - Die 4 Me (Official Music Video),Skrilla,2025-07-27T06:00:07Z,221642,21645,1424,https://www.youtube.com/watch?v=FEoicOB7Y9Q,2025-07-28T11:06:23.222147
HtorEDAgjPM,IT: Welcome to Derry | Official Teaser 2 | HBO Max,HBO Max,2025-07-27T15:00:02Z,948602,30723,1634,https://www.youtube.com/watch?v=HtorEDAgjPM,2025-07-28T11:06:23.222167
dTTqKSqU_7s,ESPORTS WORLD CUP 2025 GRAND FINALS!! OpTic TEXAS VS VANCOUVER SURGE,Scump,2025-07-27T22:35:02Z,1036176,18685,155,https://www.youtube.com/watch?v=dTTqKSqU_7s,2025-07-28T11:06:23.222173
7AagwMbUR1M,Beéle - Quédate (Letra),Keller Lyrics,2025-07-27T19:00:06Z,129743,186,3,https://www.youtube.com/watch?v=7AagwMbUR1M,2025-07-28T11:06:23.222178
f6AZTfI54OU,Peacemaker Season 2 | Official Trailer | HBO Max,DC,2025-07-26T22:45:17Z,2556922,113714,4560,https://www.youtube.com/watch?v=f6AZTfI54OU,2025-07-28T11:06:23.222184
ZMsD-t3lorE,I Stole The ADMIN ONLY Brainrot..,CaylusBlox,2025-07-27T19:09:38Z,1264677,16480,2186,https://www.youtube.com/watch?v=ZMsD-t3lorE,2025-07-28T11:06:23.222189
5k48LhP07S4,Hear Voices,BiggXthaplueg YoungBoy - Topic,2025-07-24T06:50:25Z,56025,2461,0,https://www.youtube.com/watch?v=5k48LhP07S4,2025-07-28T11:06:23.222193
YPkv8-mNHAs,Watching Movie Trailers and Guessing Their Review Scores,Ooga Booga,2025-07-27T16:01:00Z,291122,24413,1491,https://www.youtube.com/watch?v=YPkv8-mNHAs,2025-07-28T11:06:23.222214
yApM21L0GgY,Race Highlights | 2025 Belgian Grand Prix,FORMULA 1,2025-07-27T16:33:30Z,4134679,82761,4111,https://www.youtube.com/watch?v=yApM21L0GgY,2025-07-28T11:06:23.222220
TKdhqYUXcHU,Kodak Black - Get Me Some Money [Official Music Video],Kodak Black,2025-07-27T01:12:11Z,352237,24535,2030,https://www.youtube.com/watch?v=TKdhqYUXcHU,2025-07-28T11:06:23.222225
